AGENCY,Region,Province,PCODE,Municipality,MCODE,Barangay,Intervention_type,Planned_HH,HH_served,Target_Group,Status,Start_data,Completion_date ,Comments,updated,,Combinedlookup
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,SALCEDO,82619,Bua Bua,tools and tarps,0,180,home based (non-displaced),Complete,41589,41601,0,41615,,SALCEDOEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,SALCEDO,82619,Balud,tools and tarps,0,76,home based (non-displaced),Complete,41589,41601,0,41615,,SALCEDOEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,SALCEDO,82619,Butig,tools and tarps,0,54,home based (non-displaced),Complete,41589,41601,0,41615,,SALCEDOEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,SALCEDO,82619,Seguinon,tools and tarps,0,96,home based (non-displaced),Complete,41589,41601,0,41615,,SALCEDOEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,MERCEDES,82616,Palamrag,tools and tarps,0,128,home based (non-displaced),Complete,41589,41601,0,41615,,MERCEDESEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,MERCEDES,82616,Banuyo,tools and tarps,0,82,home based (non-displaced),Complete,41589,41601,0,41615,,MERCEDESEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,MERCEDES,82616,Anuron,tools and tarps,0,132,home based (non-displaced),Complete,41589,41601,These beneficiaries also received construction materials (line 14 above),41615,,MERCEDESEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,MERCEDES,82616,Barangay 3,tools and tarps,0,79,home based (non-displaced),Complete,41589,41601,These beneficiaries also received construction materials (line 15 above),41615,,MERCEDESEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,MERCEDES,82616,Barangay 2,tools and tarps,0,57,home based (non-displaced),Complete,41589,41601,These beneficiaries also received construction materials (line 16 above),41615,,MERCEDESEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,MERCEDES,82616,Barangay 1,tools and tarps,0,63,home based (non-displaced),Complete,41589,41601,These beneficiaries also received construction materials (line 17 above),41615,,MERCEDESEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,MERCEDES,82616,Barangay 4,tools and tarps,0,83,home based (non-displaced),Complete,41589,41601,These beneficiaries also received construction materials (line 18 above),41615,,MERCEDESEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,MERCEDES,82616,Busay,tools and tarps,0,78,home based (non-displaced),Complete,41589,41601,These beneficiaries also received construction materials (line 19 above),41615,,MERCEDESEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,MERCEDES,82616,San Roque,tools and tarps,0,85,home based (non-displaced),Complete,41589,41601,These beneficiaries also received construction materials (line 20 above),41615,,MERCEDESEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,MERCEDES,82616,Buyayawon,tools and tarps,0,90,home based (non-displaced),Complete,41589,41601,These beneficiaries also received construction materials (line 21 above),41615,,MERCEDESEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,HERNANI,82610,Barangay 3,tarpaulins - 1 per HH,0,20,home based (non-displaced),Complete,41589,41603,0,41615,,HERNANIEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,HERNANI,82610,Barangay 3,NFI - household kits,0,137,home based (non-displaced),Complete,41589,41603,These beneficiaries also received construction materials (line 26 above),41615,,HERNANIEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,QUINAPONDAN,82618,Rizal,Other,0,81,home based (non-displaced),Complete,41589,41606,0,41615,,QUINAPONDANEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,QUINAPONDAN,82618,Palactad,Other,0,91,home based (non-displaced),Complete,41589,41606,0,41615,,QUINAPONDANEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,QUINAPONDAN,82618,Alang Alang,Other,0,53,home based (non-displaced),Complete,41589,41607,0,41615,,QUINAPONDANEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,QUINAPONDAN,82618,Paco,Other,0,83,home based (non-displaced),Complete,41589,41607,0,41615,,QUINAPONDANEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,GIPORLOS,82608,Gigoso,Other,0,141,home based (non-displaced),Complete,41589,41607,0,41615,,GIPORLOSEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,GIPORLOS,82608,Paya,Other,0,133,home based (non-displaced),Complete,41589,41608,0,41615,,GIPORLOSEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,GIPORLOS,82608,Santa Cruz,Other,0,32,home based (non-displaced),Complete,41589,41608,0,41615,,GIPORLOSEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),LEYTE,837,TACLOBAN CITY (CAPITAL),#N/A,Barangay 96,tools and tarps,0,990,home based (non-displaced),Complete,41589,41610,0,41615,,TACLOBAN CITY (CAPITAL)LEYTE
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,QUINAPONDAN,82618,Alang Alang,construction materials,0,78,home based (non-displaced),Complete,41589,41610,"These beneficiaries also received tarpaulins (line 55), and 53 of these families received tents (line 48)",41615,,QUINAPONDANEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,QUINAPONDAN,82618,Alang Alang,Other,0,78,home based (non-displaced),Complete,41589,41610,0,41615,,QUINAPONDANEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,SALCEDO,82619,Palanas,construction materials,0,175,home based (non-displaced),Complete,41589,41611,"These beneficiaries also received tarpaulins (line 57), and 13 of these families received tents (line 58)",41615,,SALCEDOEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,SALCEDO,82619,Palanas,Other,0,175,home based (non-displaced),Complete,41589,41611,0,41615,,SALCEDOEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,SALCEDO,82619,Palanas,Other,0,13,home based (non-displaced),Complete,41589,41611,0,41615,,SALCEDOEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,SALCEDO,82619,Carapdapan,construction materials,0,84,home based (non-displaced),Complete,41589,41611,"These beneficiaries also received tarpaulins (line 60), and 16 of these families received tents (line 61)",41615,,SALCEDOEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,SALCEDO,82619,Carapdapan,Other,0,84,home based (non-displaced),Complete,41589,41611,0,41615,,SALCEDOEASTERN SAMAR
ACTED,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,826,SALCEDO,82619,Carapdapan,Other,0,16,home based (non-displaced),Complete,41589,41611,0,41615,,SALCEDOEASTERN SAMAR
ADRA,REGION VI (WESTERN VISAYAS),ILOILO,630,SAN DIONISIO,63038,0,tools and tarps,2500,0,informal camp (displaced),Ongoing,41597,41656," two 6 x 4 meters of tarpaulin, 100 meters of ropes, 2 kg of nails, one saw, and one hammer.",41613,,SAN DIONISIOILOILO
ADRA,REGION VI (WESTERN VISAYAS),ILOILO,630,0,#N/A,0,Other,7000,0,informal camp (displaced),Planned (unfunded),0,0,"18 x 12 feet tarps, 100 meters ropes, 7 kg nails, 0ne saw, and one hammer, 12 galvanized iron sheets",41613,,ILOILO
ADRA,REGION VI (WESTERN VISAYAS),ILOILO,630,0,#N/A,0,tools and tarps,2400,0,informal camp (displaced),Planned (unfunded),0,0," two 6 x 4 meters of tarpaulin, 100 meters of ropes, 2 kg of nails, one saw, and one hammer.",41613,,ILOILO
ADRA,REGION VI (WESTERN VISAYAS),ILOILO,630,0,#N/A,0,tools and tarps,3300,0,informal camp (displaced),Planned (unfunded),0,0,"Tarpaulins (6mx4m), Ropes (100m), 3 kg Iron Nails, 2 kg Roof Nails, Claw Hammer, Handsaw, Shovel, Machete curved, Tie Wire (1X5m)",41613,,ILOILO
ADRA,REGION VI (WESTERN VISAYAS),ILOILO,630,0,#N/A,0,tools and tarps,5000,0,informal camp (displaced),Planned (unfunded),0,0,"Tarpaulins (6x4m, 2), Rope (30m), Iron Nails (1), Roof Nails (2), Handsaw, Hoe, Shovel, Machete curved, Te Wire (1x5m), Shears (tin snips), Bara (Steel bar with poihted end), Builders Bucket, Work Gloves, Dust Mask",41613,,ILOILO
ADRA,REGION VI (WESTERN VISAYAS),CAPIZ,619,0,#N/A,0,construction materials,2000,0,informal camp (displaced),Planned (unfunded),0,0,"12 corrugated galvanized iron sheets, repair kits, and capacity development",41613,,CAPIZ
All Hands Volunteers,REGION VIII (EASTERN VISAYAS),LEYTE,837,ALBUERA,83703,0,tools and tarps,0,0,#N/A,#N/A,0,0,0,0,,ALBUERALEYTE
All Hands Volunteers,REGION VIII (EASTERN VISAYAS),LEYTE,837,ALBUERA,83703,0,construction materials,0,0,#N/A,#N/A,0,0,0,0,,ALBUERALEYTE
All Hands Volunteers,REGION VIII (EASTERN VISAYAS),LEYTE,837,ALBUERA,83703,0,Other,0,0,#N/A,#N/A,0,0,0,0,,ALBUERALEYTE
All Hands Volunteers,REGION VIII (EASTERN VISAYAS),LEYTE,837,ALBUERA,83703,0,Other,0,0,#N/A,#N/A,0,0,0,0,,ALBUERALEYTE
All Hands Volunteers,REGION VIII (EASTERN VISAYAS),LEYTE,837,CITY OF BAYBAY,83708,0,tools and tarps,0,0,#N/A,#N/A,0,0,0,0,,CITY OF BAYBAYLEYTE
All Hands Volunteers,REGION VIII (EASTERN VISAYAS),LEYTE,837,CITY OF BAYBAY,83708,0,construction materials,0,0,#N/A,#N/A,0,0,0,0,,CITY OF BAYBAYLEYTE
All Hands Volunteers,REGION VIII (EASTERN VISAYAS),LEYTE,837,CITY OF BAYBAY,83708,0,Other,0,0,#N/A,#N/A,0,0,0,0,,CITY OF BAYBAYLEYTE
All Hands Volunteers,REGION VIII (EASTERN VISAYAS),LEYTE,837,CITY OF BAYBAY,83708,0,Other,0,0,#N/A,#N/A,0,0,0,0,,CITY OF BAYBAYLEYTE
All Hands Volunteers,REGION VIII (EASTERN VISAYAS),LEYTE,837,ORMOC CITY,83738,0,Other,0,0,#N/A,#N/A,0,0,0,0,,ORMOC CITYLEYTE
All Hands Volunteers,REGION VIII (EASTERN VISAYAS),LEYTE,837,ORMOC CITY,83738,0,Other,0,0,#N/A,#N/A,0,0,0,0,,ORMOC CITYLEYTE
All Hands Volunteers,REGION VIII (EASTERN VISAYAS),LEYTE,837,ORMOC CITY,83738,0,Other,0,0,#N/A,#N/A,0,0,0,0,,ORMOC CITYLEYTE
All Hands Volunteers,REGION VIII (EASTERN VISAYAS),LEYTE,837,ORMOC CITY,83738,0,Other,0,0,#N/A,#N/A,0,0,0,0,,ORMOC CITYLEYTE
All Hands Volunteers,REGION VIII (EASTERN VISAYAS),LEYTE,837,ORMOC CITY,83738,0,Other,0,0,#N/A,#N/A,0,0,0,0,,ORMOC CITYLEYTE
All Hands Volunteers,REGION VIII (EASTERN VISAYAS),LEYTE,837,ORMOC CITY,83738,0,Other,0,0,#N/A,#N/A,0,0,0,0,,ORMOC CITYLEYTE
ARC Int,REGION VIII (EASTERN VISAYAS),LEYTE,837,DULAG,83718,Rawis,tarpaulins - 1 per HH,0,276,home based (non-displaced),Complete,41597,41601,Emerg Shelt kit = Tarp (6 x 4m) + rope (10m) + Floor mats,0,,DULAGLEYTE
CARE,REGION VI (WESTERN VISAYAS),AKLAN,604,ALTAVAS,60401,TBC,#N/A,0,0,home based (non-displaced),Pipeline,TBC,TBC,0,41613,,ALTAVASAKLAN
CARE,REGION VI (WESTERN VISAYAS),AKLAN,604,KALIBO (CAPITAL),#N/A,TBC,#N/A,0,0,home based (non-displaced),Pipeline,TBC,TBC,0,41613,,KALIBO (CAPITAL)AKLAN
CARE,REGION VI (WESTERN VISAYAS),AKLAN,604,NEW WASHINGTON,60415,TBC,#N/A,0,0,home based (non-displaced),Pipeline,TBC,TBC,0,41613,,NEW WASHINGTONAKLAN
CARE,REGION VI (WESTERN VISAYAS),ANTIQUE,606,BARBAZA,60602,TBC,#N/A,0,0,home based (non-displaced),Pipeline,TBC,TBC,0,41613,,BARBAZAANTIQUE
CARE,REGION VI (WESTERN VISAYAS),ANTIQUE,606,LAUA-AN,60609,TBC,#N/A,0,0,home based (non-displaced),Pipeline,TBC,TBC,0,41613,,LAUA-ANANTIQUE
CARE,REGION VI (WESTERN VISAYAS),CAPIZ,619,PONTEVEDRA,61912,TBC,#N/A,0,0,home based (non-displaced),Pipeline,TBC,TBC,0,41613,,PONTEVEDRACAPIZ
CARE,REGION VI (WESTERN VISAYAS),CAPIZ,619,PRESIDENT ROXAS,61913,TBC,#N/A,0,0,home based (non-displaced),Pipeline,TBC,TBC,0,41613,,PRESIDENT ROXASCAPIZ
CARE,REGION VI (WESTERN VISAYAS),CAPIZ,619,MA-AYON,61907,TBC,#N/A,0,0,home based (non-displaced),Pipeline,TBC,TBC,0,41613,,MA-AYONCAPIZ
CARE,REGION VI (WESTERN VISAYAS),ILOILO,630,SARA,63044,TBC,#N/A,0,0,home based (non-displaced),Pipeline,TBC,TBC,0,41613,,SARAILOILO
CARE,REGION VI (WESTERN VISAYAS),ILOILO,630,AJUY,63001,TBC,#N/A,0,0,home based (non-displaced),Pipeline,TBC,TBC,0,41613,,AJUYILOILO
CARE,REGION VI (WESTERN VISAYAS),ILOILO,630,SAN DIONISIO,63038,TBC,#N/A,0,0,home based (non-displaced),Pipeline,TBC,TBC,0,41613,,SAN DIONISIOILOILO
CARE,REGION VI (WESTERN VISAYAS),ILOILO,630,SAN DIONISIO,63038,0,Other,0,0,#N/A,Pipeline,0,0,0,0,,SAN DIONISIOILOILO
CARE,REGION VI (WESTERN VISAYAS),ILOILO,630,CONCEPCION,63015,0,Other,0,0,#N/A,Pipeline,0,0,0,0,,CONCEPCIONILOILO
CARE,REGION VI (WESTERN VISAYAS),ILOILO,630,BATAD,63009,0,Other,0,0,#N/A,Pipeline,0,0,0,0,,BATADILOILO
CARE,REGION VI (WESTERN VISAYAS),ILOILO,630,ESTANCIA,63019,0,Other,0,0,#N/A,Pipeline,0,0,0,0,,ESTANCIAILOILO
CARE,REGION VI (WESTERN VISAYAS),ILOILO,630,0,#N/A,0,Other,4500,0,#N/A,Pipeline,0,0,0,0,,ILOILO
Caritas Australia,0,0,#N/A,0,#N/A,0,tarpaulins - 1 per HH,20000,0,#N/A,Planned (unfunded),0,0,0,0,,
Caritas Australia,0,0,#N/A,0,#N/A,0,NFI - household kits,18000,0,#N/A,Planned (unfunded),0,0,0,0,,
CBCB-NACSA,REGION VIII (EASTERN VISAYAS),LEYTE,837,ORMOC CITY,83738,Dolores,#N/A,0,0,#N/A,#N/A,0,0,0,0,,ORMOC CITYLEYTE
CBCB-NACSA,REGION VIII (EASTERN VISAYAS),LEYTE,837,ORMOC CITY,83738,Luna,#N/A,0,0,#N/A,#N/A,0,0,0,0,,ORMOC CITYLEYTE
CBCB-NACSA,REGION VIII (EASTERN VISAYAS),LEYTE,837,ORMOC CITY,83738,Milagro,#N/A,0,0,#N/A,#N/A,0,0,0,0,,ORMOC CITYLEYTE
CBCB-NACSA,REGION VIII (EASTERN VISAYAS),LEYTE,837,ORMOC CITY,83738,Santo Niño,tarpaulins - 1 per HH,0,0,#N/A,#N/A,0,0,0,0,,ORMOC CITYLEYTE
CBCB-NACSA,REGION VIII (EASTERN VISAYAS),LEYTE,837,ORMOC CITY,83738,San Pablo (Simangan),#N/A,0,0,#N/A,#N/A,0,0,0,0,,ORMOC CITYLEYTE
Child Fund Int.,REGION VIII (EASTERN VISAYAS),LEYTE,837,ORMOC CITY,83738,Linao,#N/A,0,0,#N/A,#N/A,0,0,0,0,,ORMOC CITYLEYTE
Child Fund Int.,REGION VIII (EASTERN VISAYAS),LEYTE,837,ORMOC CITY,83738,Naungan,#N/A,0,0,#N/A,#N/A,0,0,0,0,,ORMOC CITYLEYTE
Child Fund Int.,REGION VIII (EASTERN VISAYAS),LEYTE,837,ORMOC CITY,83738,Tambulilid,#N/A,0,0,#N/A,#N/A,0,0,0,0,,ORMOC CITYLEYTE
Christian Aid,REGION VIII (EASTERN VISAYAS),LEYTE,837,ORMOC CITY,83738,0,tarpaulins - 1 per HH,0,0,#N/A,#N/A,0,0,0,0,,ORMOC CITYLEYTE
Christian Aid,REGION VIII (EASTERN VISAYAS),LEYTE,837,ORMOC CITY,83738,0,tarpaulins - 1 per HH,0,0,#N/A,#N/A,0,0,0,0,,ORMOC CITYLEYTE
Christian Aid,REGION VIII (EASTERN VISAYAS),LEYTE,837,ORMOC CITY,83738,0,tarpaulins - 1 per HH,0,0,#N/A,#N/A,0,0,0,0,,ORMOC CITYLEYTE
Christian Aid,REGION VIII (EASTERN VISAYAS),LEYTE,837,ORMOC CITY,83738,0,tarpaulins - 1 per HH,0,0,#N/A,#N/A,0,0,0,0,,ORMOC CITYLEYTE
Christian Aid,REGION VIII (EASTERN VISAYAS),LEYTE,837,ORMOC CITY,83738,0,tarpaulins - 1 per HH,0,0,#N/A,#N/A,0,0,0,0,,ORMOC CITYLEYTE
Christian Aid,REGION VIII (EASTERN VISAYAS),LEYTE,837,ORMOC CITY,83738,0,tarpaulins - 1 per HH,0,0,#N/A,#N/A,0,0,0,0,,ORMOC CITYLEYTE
Christian Aid,REGION VIII (EASTERN VISAYAS),LEYTE,837,ORMOC CITY,83738,0,tarpaulins - 1 per HH,0,0,#N/A,#N/A,0,0,0,0,,ORMOC CITYLEYTE
Christian Aid,REGION VIII (EASTERN VISAYAS),LEYTE,837,ORMOC CITY,83738,0,tarpaulins - 1 per HH,0,0,#N/A,#N/A,0,0,0,0,,ORMOC CITYLEYTE
Christian Aid,REGION VIII (EASTERN VISAYAS),LEYTE,837,ORMOC CITY,83738,0,tarpaulins - 1 per HH,0,0,#N/A,#N/A,0,0,0,0,,ORMOC CITYLEYTE
Christian Aid,REGION VIII (EASTERN VISAYAS),LEYTE,837,ORMOC CITY,83738,0,tarpaulins - 1 per HH,0,0,#N/A,#N/A,0,0,0,0,,ORMOC CITYLEYTE
Citizens' Disaster Response Center,REGION IV-B (MIMAROPA),ORIENTAL MINDORO,1752,BULALACAO (SAN PEDRO),175204,0,tarpaulins - 1 per HH,0,200,home based and displaced,Ongoing,16/11/2013,16/02/2014,supported by Diakonie Katastrophenhilfe,41615,,BULALACAO (SAN PEDRO)ORIENTAL MINDORO
Citizens' Disaster Response Center,REGION IV-B (MIMAROPA),ORIENTAL MINDORO,1752,MANSALAY,175207,0,tarpaulins - 1 per HH,0,100,home based and displaced,Ongoing,16/11/2013,16/02/2014,supported by Diakonie Katastrophenhilfe,41615,,MANSALAYORIENTAL MINDORO
Citizens' Disaster Response Center,REGION IV-B (MIMAROPA),ORIENTAL MINDORO,1752,ROXAS,175212,0,tarpaulins - 1 per HH,0,100,home based and displaced,Ongoing,16/11/2013,16/02/2014,supported by Diakonie Katastrophenhilfe,41615,,ROXASORIENTAL MINDORO
Citizens' Disaster Response Center,REGION IV-B (MIMAROPA),ORIENTAL MINDORO,1752,BONGABONG,175203,0,tarpaulins - 1 per HH,0,200,home based and displaced,Ongoing,16/11/2013,16/02/2014,supported by Diakonie Katastrophenhilfe,41615,,BONGABONGORIENTAL MINDORO
Citizens' Disaster Response Center,REGION IV-B (MIMAROPA),ORIENTAL MINDORO,1752,SOCORRO,175214,0,tarpaulins - 1 per HH,0,100,home based and displaced,Ongoing,16/11/2013,16/02/2014,supported by Diakonie Katastrophenhilfe,41615,,SOCORROORIENTAL MINDORO
Citizens' Disaster Response Center,REGION IV-B (MIMAROPA),ORIENTAL MINDORO,1752,BACO,175201,0,tarpaulins - 1 per HH,0,100,home based and displaced,Ongoing,16/11/2013,16/02/2014,supported by Diakonie Katastrophenhilfe,41615,,BACOORIENTAL MINDORO
Citizens' Disaster Response Center,REGION IV-B (MIMAROPA),OCCIDENTAL MINDORO,1751,SAN JOSE,175110,0,tarpaulins - 1 per HH,0,100,home based and displaced,Ongoing,16/11/2013,16/02/2014,supported by Diakonie Katastrophenhilfe,41615,,SAN JOSEOCCIDENTAL MINDORO
Citizens' Disaster Response Center,REGION IV-B (MIMAROPA),OCCIDENTAL MINDORO,1751,MAGSAYSAY,175105,0,tarpaulins - 1 per HH,0,100,home based and displaced,Ongoing,16/11/2013,16/02/2014,supported by Diakonie Katastrophenhilfe,41615,,MAGSAYSAYOCCIDENTAL MINDORO
Citizens' Disaster Response Center,REGION IV-B (MIMAROPA),PALAWAN,1753,CORON,175309,0,tarpaulins - 1 per HH,0,200,home based and displaced,Ongoing,16/11/2013,16/02/2014,supported by Diakonie Katastrophenhilfe,41615,,CORONPALAWAN
Citizens' Disaster Response Center,REGION IV-B (MIMAROPA),ORIENTAL MINDORO,1752,BULALACAO (SAN PEDRO),175204,0,NFI - household kits,0,200,home based and displaced,Ongoing,16/11/2013,16/02/2014,supported by Diakonie Katastrophenhilfe,41615,,BULALACAO (SAN PEDRO)ORIENTAL MINDORO
Citizens' Disaster Response Center,REGION IV-B (MIMAROPA),ORIENTAL MINDORO,1752,MANSALAY,175207,0,NFI - household kits,0,100,home based and displaced,Ongoing,16/11/2013,16/02/2014,supported by Diakonie Katastrophenhilfe,41615,,MANSALAYORIENTAL MINDORO
Citizens' Disaster Response Center,REGION IV-B (MIMAROPA),ORIENTAL MINDORO,1752,ROXAS,175212,0,NFI - household kits,0,100,home based and displaced,Ongoing,16/11/2013,16/02/2014,supported by Diakonie Katastrophenhilfe,41615,,ROXASORIENTAL MINDORO
